id,page_name,url,file_name,edit_type,author,description,keyword,create_date,update_date,meta_robots,master_page_id,discriminator_type
38,Cài đặt lại mật khẩu (Nhập mật khẩu mới),forgot_reset,Forgot/reset,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:05,noindex,,page
19,Điều khoản và điều kiện,help_agreement,Help/agreement,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
25,Mua hàng / Chọn nhiều địa chỉ giao hàng,shopping_shipping_multiple,Shopping/shipping_multiple,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
23,Mua hàng,shopping,Shopping/index,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
7,Tài khoản của tôi / Tất cả các địa chỉ giao hàng,mypage_delivery,Mypage/delivery,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
8,Tài khoản của tôi / Thêm địa chỉ giao hàng,mypage_delivery_new,Mypage/delivery_edit,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
42,Mua hàng / Thay đổi địa chỉ giao hàng,shopping_shipping_edit_change,Shopping/index,2,,,,2017-03-07 01:15:03,2017-03-07 01:15:03,noindex,,page
44,Tài khoản của tôi / Chỉnh sửa địa chỉ giao hàng,mypage_delivery_edit,Mypage/delivery_edit,2,,,,2017-03-07 01:15:05,2017-03-07 01:15:05,noindex,8,page
45,Mua sắm / Xác nhận,shopping_confirm,Shopping/confirm,2,,,,2017-03-07 01:15:03,2017-03-07 01:15:03,noindex,,page
46,Tìm kiếm mã bưu điện,help_postalcode,Help/postalcode,2,,,,2017-03-07 01:15:03,2017-03-07 01:15:03,noindex,,page
